shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3513832092285,-83.0655059814453,89
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3511848449707,-83.0661392211914,90
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3511199951172,-83.0663986206055,91
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3511848449707,-83.0665588378906,92
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3515357971191,-83.0667724609375,93
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3520011901855,-83.0670394897461,94
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3525314331055,-83.0673446655273,95
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3530616760254,-83.0676422119141,96
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.353572845459,-83.0679244995117,97
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3539199829102,-83.0681381225586,98
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3540153503418,-83.0682373046875,99
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3540382385254,-83.0684814453125,100
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3538818359375,-83.0689392089844,101
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.353702545166,-83.0694961547852,102
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3535308837891,-83.0700531005859,103
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3534622192383,-83.0703582763672,104
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3535118103027,-83.0704879760742,105
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3538398742676,-83.070686340332,106
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3542785644531,-83.0709381103516,107
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3543853759766,-83.0709991455078,108
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3543968200684,-83.0709991455078,109
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3544006347656,-83.0709991455078,110
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3544044494629,-83.0710067749023,111
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3544082641602,-83.0710067749023,112
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3544082641602,-83.0710067749023,113
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3544731140137,-83.071044921875,114
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3547821044922,-83.0711822509766,115
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3549880981445,-83.0712890625,116
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3549919128418,-83.0712966918945,117
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3549919128418,-83.0712890625,118
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3549919128418,-83.0712890625,119
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3549957275391,-83.0712890625,120
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3550262451172,-83.0713272094727,121
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3552398681641,-83.0714645385742,122
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3554725646973,-83.0716018676758,123
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3555679321289,-83.0716552734375,124
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3556594848633,-83.0717163085938,125
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3559417724609,-83.0718841552734,126
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3562622070313,-83.0720672607422,127
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3564796447754,-83.0721817016602,128
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3565101623535,-83.0722045898438,129
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3565101623535,-83.0722045898438,130
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3565406799316,-83.0722274780273,131
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3565483093262,-83.0722351074219,132
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3566703796387,-83.0723037719727,133
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3569869995117,-83.0724792480469,134
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3574028015137,-83.0727081298828,135
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3578262329102,-83.0729446411133,136
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3582801818848,-83.0731658935547,137
